,prefecture,max_lat,min_lat,max_lon,min_lon
0,北海道,45.512988,41.358899,146.325012,139.360479
1,青森県,41.527021,40.263458,141.649675,139.497704
2,岩手県,40.38984,38.77644,142.01426,140.719989
3,宮城県,38.988623,37.826695,141.670214,140.286229
4,秋田県,40.458566,38.951731,140.889827,139.704017
5,山形県,39.195004,37.792515,140.612044,139.54973
6,福島県,37.912727,36.807696,141.036018,139.276924
7,茨城県,36.907795,35.746831,140.83984,139.692646
8,栃木県,37.12629,36.208745,140.273568,139.377265
9,群馬県,36.913988,36.049438,139.655551,138.43827
10,埼玉県,36.280547,35.755447,139.89387,138.784708
11,千葉県,36.098726,34.908805,140.864445,139.75942
12,東京都,35.858004,20.425604,153.980589,136.081143
13,神奈川県,35.651835,35.133397,139.776179,139.004544
14,新潟県,38.552385,36.804073,139.723198,137.652757
15,富山県,36.966294,36.323698,137.690236,136.791673
16,石川県,37.849929,36.131836,137.352431,136.250065
17,福井県,36.289835,35.361986,136.809434,135.454704
18,山梨県,35.923232,35.204254,139.116619,138.223312
19,長野県,37.004202,35.208541,138.698829,137.451094
20,岐阜県,36.455699,35.144058,137.602285,136.348134
21,静岡県,35.453747,34.60442,139.171544,137.484097
22,愛知県,35.408066,34.582572,137.78194,136.674629
23,三重県,35.228011,33.732504,136.981915,135.85939
24,滋賀県,35.669414,34.817133,136.440044,135.781133
25,京都府,35.762942,34.711172,136.023973,134.865345
26,大阪府,35.035614,34.29108,135.739502,135.10557
27,兵庫県,35.661827,34.167974,135.458724,134.266777
28,奈良県,34.753837,33.878208,136.205976,135.568653
29,和歌山県,34.372631,33.447029,136.006452,135.068349
30,鳥取県,35.604046,35.082636,134.48925,133.170987
31,島根県,36.328764,34.327478,133.370164,131.6871
32,岡山県,35.312861,34.304053,134.39523,133.305621
33,広島県,35.076961,34.117711,133.453995,132.089202
34,山口県,34.778282,33.738672,132.42882,130.786664
35,徳島県,34.244503,33.563788,134.813874,133.687567
36,香川県,34.555188,34.03198,134.431937,133.535408
37,愛媛県,34.300715,32.913394,133.664035,132.037258
38,高知県,33.840613,32.718812,134.298708,132.489499
39,福岡県,33.992902,33.004368,131.180899,130.035919
40,佐賀県,33.603027,32.954889,130.538449,129.757008
41,長崎県,34.695725,32.560863,130.377578,128.595755
42,熊本県,33.167186,32.114313,131.289426,129.992915
43,大分県,33.737758,32.750012,132.073707,130.862578
44,宮崎県,32.812752,31.40276,131.849342,130.728906
45,鹿児島県,32.279931,27.026194,131.185599,128.41445
46,沖縄県,27.873001,24.058586,131.314292,122.987678
